,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,55810,300803.XSHE,2024-12-31,2025-01-25,2024-12-31,0.2544,96522200.0,-97512384.0,147968487.0,5.0598,4.6871,1.278,8.6004,88.6596,106.3786,6.7292,6.8152,52.6171,29.5827,1.2737,-96.3307,146.1753,92.6343,100.8581,292.913,-4592.1175,37.3704,,22.7461,,62.8057,,43.5087,,43.5028,
1,55811,300708.XSHE,2024-12-31,2025-01-25,2024-12-31,0.2892,185732675.2,220461756.47,-7433373.36,6.9854,6.6333,4.1739999999999995,7.0878,13.6956,92.01100000000001,7.7592,7.0878,0.7659999999999999,1.5665,-1.5530000000000002,104.1717,-3.5124,94.9587,112.5175,19.0064,237.9068,11.2309,,11.2309,,170.8043,,61.4422,,61.4422,
2,55816,603535.XSHG,2024-12-31,2025-02-20,2024-12-31,0.5929,205449888.77,256203671.81,1834770.59,8.0677,8.0989,4.5021,15.235999999999999,32.8636,80.9634,17.1091,15.235999999999999,2.9586,4.8687,3.8637,113.4051,0.8121,100.3866,89.4605,11.0259,57.9196,9.8259,,9.8259,,20.7094,,24.7768,,24.5269,
3,55817,301522.XSHE,2024-12-31,2025-02-25,2024-12-31,0.4345,130041225.95,135354508.63,4321011.89,10.7475,8.6499,4.8113,6.4412,13.9133,94.6041,7.006,6.4412,0.9993,2.0258,1.0513,77.1928,2.4643,80.4832,96.9458,3.2971,61.104,23.2892,,23.2892,,6.4595,,7.1419,,7.1419,
4,55818,603050.XSHG,2024-12-31,2025-02-25,2024-12-31,0.6526,141765711.15,220953653.57,1666888.5,10.9657,8.7413,3.4468,4.4003,21.6446,94.6093,4.3587,4.4003,6.3135,3.4074,0.8017,123.7326,0.9334,79.7151,90.0721,2.4017,44.553000000000004,4.9754,,4.9754,,-46.1038,,-40.9363,,-40.5385,
5,55819,300033.XSHE,2024-12-31,2025-02-25,2024-12-31,3.3915,1764896337.92,1868498124.36,20973456.19,23.8441,23.0807,17.5135,43.5483,89.4096,55.3716,46.9785,43.5483,14.1411,5.2875,-4.9184,95.0917,1.0674,96.7986,116.6388,55.305,123.9234,17.465999999999998,,17.465999999999998,,30.1012,,30.0042,,30.0041,
6,55820,600535.XSHG,2024-12-31,2025-02-25,2024-12-31,0.6396,1035706322.69,1441353015.45,-213447906.03,7.8741,8.5343,5.4215,10.1087,67.1428,83.0392,12.6607,10.1087,35.1641,4.0644,-0.2963,134.871,-19.9729,108.3844,108.9049,23.7059,139.7686,-2.0276,,-2.0276,,-12.3756,,-15.5005,,-10.7823,
7,55824,603196.XSHG,2024-12-31,2025-02-26,2024-12-31,-0.6693,-165577514.78,-25707740.7,238864.88,-22.1019,-23.0713,-14.4465,-18.3388,55.5636,102.9688,-16.9923,-18.3388,39.0003,14.6498,0.8744,17.3483,-0.1612,104.3857,124.8266,11.4029,-384.0837,-15.6812,,-15.6812,,-676.5184,,-1029.917,,-1028.8745,
8,55825,002188.XSHE,2024-12-31,2025-02-26,2024-12-31,0.0216,26012421.06,39929614.7,0.0,3.264,11.9917,1.6725,1.8932,22.5338,88.9988,9.7927,1.8932,1.1417,9.8498,-0.2443,244.41099999999997,0.0,367.3965,97.0155,-7.0138,-63.7552,6.8015,,6.8015,,-28.6422,,-65.693,,-64.9838,
9,55826,002315.XSHE,2024-12-31,2025-02-26,2024-12-31,1.4222,437549981.54,465978863.01,22958528.08,18.125,17.5772,11.1906,27.3795,80.3854,72.0774,29.8164,27.2473,36.0348,9.7254,-3.1262,93.9493,4.6288,96.9777,118.8543,42.3049,151.5075,9.3183,,9.3082,,25.5009,,18.8884,,19.089000000000002,
