date,open,close,high,low,volume,money
2024-03-20,9.19,9.25,9.27,9.18,98538239.0,910278572.98
2024-03-21,9.25,9.27,9.32,9.23,97612671.0,905422293.67
2024-03-22,9.25,9.17,9.25,9.13,116094366.0,1065535606.11
2024-03-25,9.17,9.21,9.29,9.14,107632442.0,993304120.45
2024-03-26,9.25,9.39,9.44,9.23,196477471.0,1835376190.72
2024-03-27,9.35,9.33,9.41,9.31,143871224.0,1347397150.36
2024-03-28,9.31,9.29,9.36,9.19,147038868.0,1362980388.48
2024-03-29,9.25,9.32,9.36,9.24,98549059.0,917332315.96
2024-04-01,9.32,9.42,9.43,9.31,134493715.0,1261770380.39
2024-04-02,9.41,9.34,9.46,9.33,122566358.0,1149700799.95
2024-04-03,9.33,9.26,9.34,9.23,110866788.0,1028648883.43
2024-04-08,9.23,9.24,9.29,9.18,102343234.0,945290441.32
2024-04-09,9.24,9.21,9.27,9.17,96787304.0,891468991.01
2024-04-10,9.19,9.1,9.22,9.1,140738331.0,1288696196.29
2024-04-11,9.07,9.08,9.11,8.96,114069958.0,1030820137.39
2024-04-12,9.05,8.91,9.1,8.89,147407517.0,1322011753.93
2024-04-15,8.92,9.11,9.14,8.91,164090834.0,1486326196.01
2024-04-16,9.1,9.1,9.2,9.05,166894987.0,1523138499.07
2024-04-17,9.09,9.41,9.41,9.04,252102392.0,2337576586.88
2024-04-18,9.37,9.56,9.77,9.35,357484572.0,3427338981.81
2024-04-19,9.48,9.47,9.58,9.44,164595844.0,1562376146.58
2024-04-22,9.42,9.3,9.57,9.25,226942046.0,2125722741.41
2024-04-23,9.31,9.33,9.43,9.26,140019749.0,1308866093.13
2024-04-24,9.32,9.33,9.36,9.26,106318717.0,989093538.21
2024-04-25,9.3,9.4,9.41,9.28,125767996.0,1176304524.86
2024-04-26,9.38,9.39,9.45,9.28,181527984.0,1698581436.96
2024-04-29,9.35,9.57,9.65,9.32,244936338.0,2337350883.73
2024-04-30,9.56,9.56,9.64,9.5,149564545.0,1431407709.37
2024-05-06,9.71,9.64,9.84,9.6,201454738.0,1953817493.43
2024-05-07,9.63,9.64,9.64,9.53,122746843.0,1176786412.82
2024-05-08,9.6,9.5,9.64,9.48,137960631.0,1318611999.65
2024-05-09,9.48,9.53,9.58,9.48,120759959.0,1150726857.51
2024-05-10,9.54,9.69,9.71,9.53,199618153.0,1923452176.84
2024-05-13,9.65,9.72,9.75,9.57,158365505.0,1530058919.54
2024-05-14,9.74,9.66,9.79,9.64,121473963.0,1176577328.23
2024-05-15,9.65,9.59,9.67,9.57,98045182.0,942907950.5
2024-05-16,9.61,9.89,9.93,9.59,347364683.0,3410151917.15
2024-05-17,9.9,10.11,10.11,9.86,320880886.0,3200736554.36
2024-05-20,10.12,10.08,10.21,10.02,245052973.0,2475290152.11
2024-05-21,10.03,10.23,10.29,10.02,229226468.0,2336192874.97
2024-05-22,10.24,10.24,10.4,10.15,238878810.0,2458448969.66
2024-05-23,10.21,10.1,10.26,10.07,207949970.0,2110799281.76
2024-05-24,10.07,10.02,10.18,10.01,157888685.0,1593330336.42
2024-05-27,10.02,10.19,10.21,10.02,164221685.0,1663272117.57
2024-05-28,10.18,10.1,10.26,10.06,135988155.0,1377107203.91
2024-05-29,10.08,9.97,10.14,9.95,163143294.0,1635445613.13
2024-05-30,9.95,9.85,10.04,9.79,149670666.0,1481608711.02
2024-05-31,9.87,9.84,9.91,9.84,93348994.0,921248145.59
2024-06-03,9.85,9.72,9.86,9.66,149806211.0,1456086023.62
2024-06-04,9.7,9.76,9.79,9.66,110771836.0,1079356560.61
2024-06-05,9.78,9.63,9.8,9.63,115058470.0,1114155998.81
2024-06-06,9.65,9.65,9.72,9.64,118487047.0,1145989425.79
2024-06-07,9.67,9.73,9.75,9.64,132126764.0,1281662985.8
2024-06-11,9.72,9.63,9.76,9.56,151040593.0,1452841956.89
